strategy,model_type,f1,precision,recall,auprc,mcc,f2,ap_at_50,ap_at_100,ap_at_200,typ_coverage,typ_wf1,specificity,fpr,false_positives,n_test_fraud,threshold,client_equity,worst_bank_f1,best_bank_f1,collab_gain,n_eval_banks,n_banks_with_fraud,total_test_fraud,dataset,alpha
fedavg,fl,0.2411,0.1764,0.5126,0.1824,0.2501,0.3109,0.32,0.3125,0.3075,0.1417,0.1612,0.9381,0.0619,11554.0,4857.25,0.8375,0.2387,0.0,0.5117,-0.0038,4,3,19429,LI-Large,0.05
fedprox,fl,0.2363,0.1711,0.5304,0.1946,0.2465,0.3082,0.285,0.2575,0.2863,0.1417,0.1654,0.9299,0.0701,13083.75,4857.25,0.85,0.2344,0.0,0.5048,-0.0086,4,3,19429,LI-Large,0.05
fednova,fl,0.244,0.1792,0.3869,0.1913,0.2452,0.3127,0.335,0.3325,0.3237,0.1417,0.1096,0.9637,0.0363,6747.5,4857.25,0.6625,0.2369,0.0,0.5128,-0.0009,4,3,19429,LI-Large,0.05
persfl,fl,0.2392,0.1727,0.5641,0.1957,0.2507,0.3127,0.3,0.305,0.3087,0.1417,0.1721,0.9409,0.0591,11021.5,4857.25,0.6375,0.2373,0.0,0.5062,-0.0057,4,3,19429,LI-Large,0.05
scaffold,fl,0.2437,0.1787,0.3871,0.1869,0.2449,0.3126,0.26,0.2925,0.3088,0.1417,0.1096,0.9635,0.0365,6783.5,4857.25,0.7,0.2371,0.0,0.508,-0.0012,4,3,19429,LI-Large,0.05
fedavgm,fl,0.2366,0.1711,0.5586,0.1771,0.2476,0.3089,0.275,0.28,0.2712,0.1417,0.1714,0.9218,0.0782,14594.25,4857.25,0.8875,0.2348,0.0,0.5038,-0.0083,4,3,19429,LI-Large,0.05
xgb,local_expert,0.2431,0.176,0.4792,0.2108,0.2519,0.3168,0.425,0.395,0.3812,0.2333,0.1975,0.7032,0.2968,55653.25,4857.25,0.6625,0.241,0.0,0.5168,,4,3,19429,LI-Large,0.05
lgbm,local_expert,0.243,0.1762,0.4824,0.2095,0.2517,0.3164,0.37,0.3775,0.3662,0.2333,0.1912,0.7023,0.2977,55817.25,4857.25,0.65,0.2412,0.0,0.5174,,4,3,19429,LI-Large,0.05
catboost,local_expert,0.2446,0.1788,0.4345,0.2093,0.25,0.3154,0.375,0.365,0.3675,0.2333,0.1773,0.7085,0.2915,54665.0,4857.25,0.6875,0.2426,0.0,0.5177,,4,3,19429,LI-Large,0.05
rf,local_expert,0.2405,0.1728,0.5277,0.2054,0.2524,0.3163,0.32,0.3175,0.3,0.1417,0.1633,0.6983,0.3017,56573.25,4857.25,0.675,0.2381,0.0,0.5102,,4,3,19429,LI-Large,0.05
lr,local_expert,0.2293,0.1612,0.5495,0.1592,0.2438,0.3093,0.295,0.2425,0.1787,0.1833,0.1686,0.6917,0.3083,57797.25,4857.25,0.7375,0.2272,0.0,0.4907,,4,3,19429,LI-Large,0.05
moe_static,moe,0.2394,0.173,0.5277,0.1971,0.2503,0.3127,0.305,0.2975,0.31,0.1417,0.1642,0.9431,0.0569,10595.0,4857.25,0.7125,0.2368,0.0,0.5066,-0.0055,4,3,19429,LI-Large,0.05
moe_performance,moe,0.2393,0.173,0.4431,0.1972,0.2463,0.3126,0.305,0.3,0.3113,0.1417,0.1362,0.9539,0.0461,8572.0,4857.25,0.7625,0.2368,0.0,0.5067,-0.0055,4,3,19429,LI-Large,0.05
moe_confidence,moe,0.2413,0.1759,0.4999,0.1959,0.2497,0.3119,0.285,0.3025,0.3087,0.1417,0.1574,0.9506,0.0494,9194.0,4857.25,0.725,0.2388,0.0,0.507,-0.0036,4,3,19429,LI-Large,0.05
moe_typology_aware,moe,0.2416,0.1691,0.4488,0.2375,0.2533,0.328,0.35,0.31,0.315,0.2333,0.2288,0.9542,0.0458,8500.5,4857.25,0.7,0.2242,0.0,0.4902,-0.0033,4,3,19429,LI-Large,0.05
moe_confidence_aware,moe,0.2394,0.173,0.5277,0.1971,0.2503,0.3127,0.305,0.2975,0.31,0.1417,0.1642,0.9483,0.0517,9629.5,4857.25,0.6875,0.2368,0.0,0.5066,-0.0055,4,3,19429,LI-Large,0.05
moe_expert_choice,moe,0.2394,0.173,0.5277,0.1971,0.2503,0.3127,0.305,0.2975,0.31,0.1417,0.1642,0.9483,0.0517,9629.5,4857.25,0.6875,0.2368,0.0,0.5066,-0.0055,4,3,19429,LI-Large,0.05
moe_multi_gate,moe,0.2394,0.173,0.5277,0.1971,0.2503,0.3127,0.305,0.2975,0.31,0.1417,0.1642,0.9483,0.0517,9629.5,4857.25,0.6875,0.2368,0.0,0.5066,-0.0055,4,3,19429,LI-Large,0.05
